                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56881,                  1.721,                 1.2083,                0.85742,                0.48288,                0.41548,                0.36449,                 1.0856,                 2.0797,                 1.2721,             0.00055164,             0.00055164,             0.00055164
                      2,                0.48796,                 1.1493,                 1.1409,                 0.6951,                0.38356,                0.20475,                0.06281,                  1.991,                 3.4322,                 2.0714,              0.0010963,              0.0010963,              0.0010963
                      3,                0.45863,                0.98369,                 1.1136,                0.83792,                0.44984,                0.41326,                0.33556,                 1.0286,                 1.7575,                 1.1605,                0.00163,                0.00163,                0.00163
                      4,                 0.4722,                0.95505,                 1.1228,                0.76858,                0.36986,                0.30708,                0.13054,                 1.9312,                 2.5009,                 2.0602,              0.0016175,              0.0016175,              0.0016175
                      5,                0.42849,                0.85856,                 1.0931,                0.29192,                0.38338,                0.27773,                0.20348,                 1.2193,                 1.8894,                 1.2855,               0.001601,               0.001601,               0.001601
                      6,                0.41472,                0.83345,                 1.1002,                 0.4414,                0.47997,                0.42213,                0.36338,                 1.0848,                  1.718,                  1.233,              0.0015845,              0.0015845,              0.0015845
                      7,                0.38383,                0.78826,                 1.0756,                0.86587,                0.48288,                0.46339,                0.37614,                 1.0553,                 1.8498,                 1.1193,               0.001568,               0.001568,               0.001568
                      8,                0.39009,                0.77409,                 1.0816,                 0.4526,                0.50991,                0.45415,                0.40516,                0.97647,                 1.4784,                 1.0753,              0.0015515,              0.0015515,              0.0015515
                      9,                0.36694,                0.77804,                 1.0711,                0.47343,                0.54324,                0.45736,                0.40513,                0.89451,                 1.5083,                0.96356,               0.001535,               0.001535,               0.001535
                     10,                0.35056,                0.72122,                 1.0583,                0.43068,                0.55297,                0.46736,                0.41524,                0.94103,                 1.3033,                 1.0122,              0.0015185,              0.0015185,              0.0015185
                     11,                 0.3494,                0.72262,                 1.0465,                0.44656,                0.48052,                0.46527,                0.38825,                 0.9694,                 1.3931,                0.99706,               0.001502,               0.001502,               0.001502
                     12,                 0.3518,                0.72208,                 1.0539,                0.80175,                0.40658,                0.40594,                0.25992,                 1.1543,                 1.6926,                 1.2306,              0.0014855,              0.0014855,              0.0014855
                     13,                0.33482,                0.68572,                  1.045,                0.42887,                0.55658,                  0.472,                0.41519,                0.88772,                 1.3913,                0.95728,               0.001469,               0.001469,               0.001469
                     14,                0.34668,                0.68963,                 1.0572,                0.48557,                0.48552,                0.46899,                0.38418,                  1.068,                 1.6236,                 1.0578,              0.0014525,              0.0014525,              0.0014525
                     15,                0.33239,                 0.6683,                 1.0529,                0.46846,                0.54324,                0.49605,                0.44234,                 0.9526,                 1.2256,                 1.0695,               0.001436,               0.001436,               0.001436
                     16,                0.32553,                0.66956,                 1.0341,                0.56084,                0.58139,                0.53077,                0.44412,                 0.9131,                  1.362,                 1.0252,              0.0014195,              0.0014195,              0.0014195
                     17,                0.33676,                0.66687,                 1.0565,                0.90116,                0.40068,                 0.4858,                0.41237,                  1.012,                  1.535,                 1.0957,              0.0014029,              0.0014029,              0.0014029
                     18,                 0.3246,                0.65345,                 1.0442,                0.46115,                0.62324,                0.52432,                0.45187,                0.88194,                 1.1317,                0.94097,              0.0013864,              0.0013864,              0.0013864
                     19,                0.31404,                0.63533,                  1.044,                 0.4556,                0.56324,                0.52108,                0.41168,                 1.0115,                 1.2457,                 1.0651,              0.0013699,              0.0013699,              0.0013699
                     20,                0.32445,                0.62967,                 1.0428,                0.48628,                0.61344,                 0.5315,                0.43022,                0.95754,                  1.172,                 1.0295,              0.0013534,              0.0013534,              0.0013534
                     21,                0.30942,                0.61699,                 1.0409,                0.60313,                0.58325,                0.56428,                0.47316,                0.92984,                  1.128,                 1.0045,              0.0013369,              0.0013369,              0.0013369
                     22,                0.32244,                0.62358,                 1.0466,                0.51102,                0.57658,                0.53322,                0.47129,                0.96847,                 1.2236,                 1.0185,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.3156,                0.61714,                  1.041,                0.48745,                 0.6219,                0.53448,                  0.458,                0.86189,                 1.1246,                0.93648,              0.0013039,              0.0013039,              0.0013039
                     24,                0.32192,                0.62727,                  1.042,                0.53596,                0.64324,                0.54898,                0.47294,                0.97084,                 1.2009,                0.97837,              0.0012874,              0.0012874,              0.0012874
                     25,                0.30704,                0.61466,                 1.0329,                0.53851,                0.60991,                0.56178,                0.43639,                0.87417,                 1.1179,                0.99142,              0.0012709,              0.0012709,              0.0012709
                     26,                0.29883,                0.59884,                 1.0202,                0.53175,                 0.6263,                0.55375,                0.46566,                0.90906,                  1.159,                0.99273,              0.0012544,              0.0012544,              0.0012544
                     27,                0.29961,                0.59755,                 1.0354,                 0.5042,                0.65658,                0.59014,                 0.4822,                0.87143,                 1.0264,                0.95321,              0.0012379,              0.0012379,              0.0012379
                     28,                0.30164,                0.62227,                 1.0224,                0.50148,                0.58991,                0.54222,                0.45491,                0.94715,                 1.1695,                0.96898,              0.0012214,              0.0012214,              0.0012214
                     29,                0.31559,                0.60216,                 1.0308,                0.52879,                0.61541,                0.58328,                0.47871,                0.93354,                 1.1918,                 1.0288,              0.0012049,              0.0012049,              0.0012049
                     30,                0.31938,                  0.607,                 1.0406,                0.53661,                0.60194,                0.53018,                0.44815,                0.93411,                 1.1423,                0.96847,              0.0011884,              0.0011884,              0.0011884
                     31,                0.29985,                0.59937,                 1.0297,                0.58698,                0.55297,                0.53765,                0.47474,                0.85153,                 1.1154,                0.89658,              0.0011719,              0.0011719,              0.0011719
                     32,                0.28575,                0.56692,                  1.014,                0.56863,                  0.611,                0.58198,                 0.4752,                0.88996,                 1.1062,                 0.9556,              0.0011554,              0.0011554,              0.0011554
                     33,                0.30632,                0.59231,                 1.0185,                0.63612,                0.61658,                 0.6029,                0.49009,                0.83508,                  1.069,                0.87692,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.3014,                0.56818,                 1.0214,                0.61847,                0.60702,                0.61023,                0.49016,                0.90971,                 1.1127,                0.98024,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.2829,                0.54408,                 1.0115,                 0.5328,                0.63297,                0.55112,                0.46596,                0.84062,                 1.1217,                0.90373,              0.0011059,              0.0011059,              0.0011059
                     36,                0.29939,                0.57195,                 1.0285,                0.57364,                0.66953,                0.60819,                0.48817,                0.84648,                0.94972,                0.94422,              0.0010894,              0.0010894,              0.0010894
                     37,                0.28077,                0.54845,                  1.016,                0.66396,                0.57242,                0.58464,                0.45821,                0.90954,                 1.1092,                0.94483,              0.0010729,              0.0010729,              0.0010729
                     38,                0.30011,                 0.5571,                 1.0252,                0.60009,                  0.629,                0.60465,                0.47584,                0.87741,                 1.0624,                0.93977,              0.0010564,              0.0010564,              0.0010564
                     39,                0.29106,                0.54727,                  1.027,                0.60669,                 0.6663,                0.62262,                0.49177,                0.84093,                0.97317,                0.92889,              0.0010399,              0.0010399,              0.0010399
                     40,                0.27908,                0.53042,                 1.0174,                0.63518,                0.62648,                0.60122,                0.48069,                0.90643,                 1.0975,                0.89774,              0.0010234,              0.0010234,              0.0010234
                     41,                0.27463,                 0.5324,                 1.0124,                0.68369,                0.63592,                0.62367,                0.49757,                0.88592,                 1.1478,                0.92318,              0.0010069,              0.0010069,              0.0010069
                     42,                0.28917,                0.55437,                  1.017,                0.62122,                0.65341,                0.64127,                0.49585,                0.89664,                 0.9577,                0.90099,             0.00099036,             0.00099036,             0.00099036
                     43,                0.29858,                0.54191,                 1.0231,                0.58445,                0.64306,                0.60092,                0.47628,                0.89009,                 1.0606,                0.91855,             0.00097386,             0.00097386,             0.00097386
